model,doc_id,source_file,status,reason,gt_file_exists,matched_count,gt_only_count,pred_only_count,gt_defendant_count,pred_defendant_count,llm_calls,input_tokens,output_tokens,total_tokens,fallback_errors,fallback_used
one_call,20-01-2025-Bac_Ninh-2ta1738652t1cvn,20-01-2025-Bac_Ninh-2ta1738652t1cvn.json,processed,ok,True,1,0,0,1,1,1,1542,457,1999,0,False
one_call,20-05-2024-Ha_Noi-2ta1493037t1cvn,20-05-2024-Ha_Noi-2ta1493037t1cvn.json,processed,ok,True,1,0,0,1,1,1,1709,659,2368,0,False
one_call,20-05-2025-Ba_Ria_Vung_Tau-2ta1838148t1cvn,20-05-2025-Ba_Ria_Vung_Tau-2ta1838148t1cvn.json,processed,ok,True,1,0,0,1,1,1,1514,437,1951,0,False
one_call,20-05-2025-Son_La-2ta1826649t1cvn,20-05-2025-Son_La-2ta1826649t1cvn.json,processed,ok,True,2,0,0,2,2,1,2390,1112,3502,0,False
one_call,20-06-2024-Bac_Giang-2ta1574024t1cvn,20-06-2024-Bac_Giang-2ta1574024t1cvn.json,processed,ok,True,1,0,0,1,1,1,1439,538,1977,0,False
one_call,20-09-2025-An_Giang-2ta1917767t1cvn,20-09-2025-An_Giang-2ta1917767t1cvn.json,processed,ok,True,3,0,0,3,3,1,2716,1503,4219,0,False
one_call,20-09-2025-Dien_Bien-2ta1982098t1cvn,20-09-2025-Dien_Bien-2ta1982098t1cvn.json,processed,ok,True,1,0,0,1,1,1,1498,524,2022,0,False
one_call,20-10-2025-An_Giang-2ta2034333t1cvn,20-10-2025-An_Giang-2ta2034333t1cvn.json,processed,ok,True,2,0,0,2,2,1,2010,718,2728,0,False
one_call,20-11-2025-Lam_Dong-2ta2026259t1cvn,20-11-2025-Lam_Dong-2ta2026259t1cvn.json,processed,ok,True,1,0,0,1,1,1,1590,739,2329,0,False
one_call,20-12-2024-Hai_Phong-2ta1833162t1cvn,20-12-2024-Hai_Phong-2ta1833162t1cvn.json,processed,ok,True,1,0,0,1,1,1,1509,691,2200,0,False
one_call,21-02-2024-Hai_Phong-2ta1418269t1cvn,21-02-2024-Hai_Phong-2ta1418269t1cvn.json,processed,ok,True,2,0,0,2,2,1,2190,1037,3227,0,False
one_call,21-02-2025-An_Giang-2ta1973677t1cvn,21-02-2025-An_Giang-2ta1973677t1cvn.json,processed,ok,True,1,0,0,1,1,1,1649,513,2162,0,False
one_call,21-02-2025-Ha_Tinh-2ta1867599t1cvn,21-02-2025-Ha_Tinh-2ta1867599t1cvn.json,processed,ok,True,1,0,0,1,1,1,1659,512,2171,0,False
one_call,21-03-2025-Hai_Duong-2ta1788880t1cvn,21-03-2025-Hai_Duong-2ta1788880t1cvn.json,processed,ok,True,3,0,0,3,3,1,3259,1237,4496,0,False
one_call,21-08-2024-Ba_Ria_Vung_Tau-2ta1613282t1cvn,21-08-2024-Ba_Ria_Vung_Tau-2ta1613282t1cvn.json,processed,ok,True,1,0,0,1,1,1,1493,615,2108,0,False
one_call,22-03-2024-An_Giang-2ta1638930t1cvn,22-03-2024-An_Giang-2ta1638930t1cvn.json,processed,ok,True,5,0,0,5,5,1,3763,1975,5738,0,False
