model,n_total,n_processed,n_failed,n_skipped,processed_rate,failure_rate,skip_rate,resume_completeness,existing_law_article_precision_macro,existing_law_article_recall_macro,existing_law_article_f1_macro,existing_sentence_rmse_months_macro,per_defendant_article_f1_macro,exact_article_set_match_rate,sentence_exact_match_rate,sentence_rmse_months_micro,sentence_mae_months_micro,sentence_mae_months_macro,sentence_median_ae_months,sentence_within_3_month_rate,sentence_within_6_month_rate,sentence_within_12_month_rate,sentence_bias_months,custodial_class_accuracy,zero_month_error_rate,defendant_name_match_rate,missing_defendant_rate,extra_defendant_rate,full_signature_precision_macro,full_signature_recall_macro,full_signature_f1_macro,khoan_level_precision_macro,khoan_level_recall_macro,khoan_level_f1_macro,mandatory_support_article_recall,offense_article_precision_macro,offense_article_recall_macro,offense_article_f1_macro,overcitation_rate,undercitation_rate,toi_danh_present_rate,toi_danh_exact_match_rate,toi_danh_partial_match_rate,phat_tu_present_rate,phat_tien_present_when_gt_rate,trach_nhiem_dan_su_present_when_gt_rate,xu_ly_vat_chung_present_when_gt_rate,applied_law_nonempty_rate,toi_danh_exact_normalized_match_rate,toi_danh_token_f1,phat_tien_exact_normalized_match_rate,trach_nhiem_dan_su_token_f1,xu_ly_vat_chung_token_f1,avg_input_tokens,avg_output_tokens,avg_total_tokens,total_input_tokens,total_output_tokens,total_tokens,avg_llm_calls_per_doc,fallback_rate,parse_failure_rate,generation_failure_rate
act,361,361,0,0,1.0,0.0,0.0,1.0,0.79147,0.55098,0.629751,35.481576,0.6197292952309674,0.1020066889632107,0.2525083612040134,51.40050297113462,34.479933110367895,34.122162313678935,21.0,0.2608695652173913,0.3110367892976589,0.4414715719063545,-10.466555183946488,0.8745819397993311,0.1254180602006689,0.9983221476510067,0.0016778523489932886,0.0033500837520938024,0.627311939268461,0.42391823152692715,0.4893082975563794,0.7395843287147635,0.4294254658385093,0.5243788634256862,0.528105677346824,0.7603121516164995,0.6095317725752508,0.6561315496098105,0.19091507570770244,0.5243808049535603,0.9933110367892977,0.6220735785953178,0.8645484949832776,0.9916387959866221,0.05194805194805195,0.7769784172661871,,0.9933110367892977,0.08695652173913043,0.7250815923841165,0.8394648829431438,0.2663197535036307,0.0,27447.515235457064,5208.2409972299165,33862.35180055402,9908553,1880175,12224309,3.038781163434903,0.32132963988919666,0.0,0.0
one_call,361,361,0,0,1.0,0.0,0.0,1.0,0.82389,0.48992,0.593987,59.910444,0.5895517886289698,0.08892617449664429,0.08892617449664429,90.11299766955536,57.0,57.76138042474608,36.0,0.11577181208053691,0.17953020134228187,0.28691275167785235,-35.328859060402685,0.8087248322147651,0.1912751677852349,0.9983221476510067,0.0016778523489932886,0.0,0.4248042505592841,0.2225229282276262,0.28213616531076063,0.6779082774049217,0.3328765846383296,0.43059965761308044,0.46992692523889823,0.7172818791946308,0.5794183445190156,0.6201342281879194,0.16603198781416603,0.5762383900928792,0.9966442953020134,0.6526845637583892,0.8758389261744967,0.9966442953020134,0.14285714285714285,0.7661870503597122,,0.9966442953020134,0.6157718120805369,0.7892955646022733,0.8640939597315436,0.2411387563307979,0.0,1973.3102493074791,834.5927977839335,2837.1246537396123,712365,301288,1024202,1.0,0.0221606648199446,0.0,0.0
past,361,361,0,0,1.0,0.0,0.0,1.0,0.664555,0.564077,0.592425,53.966926,0.38613794702029997,0.08888888888888889,0.19738562091503267,115.39820798101138,73.63006535947713,49.84767555851351,36.0,0.20522875816993463,0.24183006535947713,0.3464052287581699,-3.661437908496732,0.5581699346405229,0.4418300653594771,0.7214765100671141,0.2785234899328859,0.28213689482470783,0.34373690216827474,0.27389704703430195,0.2953811666074156,0.3902521008403361,0.27680309160701316,0.3118854314125364,0.4469505340078696,0.4459694989106754,0.4085029567382509,0.41496628280942005,0.3775680177679067,0.5661764705882353,0.7830065359477124,0.39738562091503266,0.5202614379084968,0.7830065359477124,0.14285714285714285,0.7697841726618705,,0.7607843137254902,0.3908496732026144,0.4819145347612209,0.8496732026143791,0.21014838432447722,0.0,27917.252077562327,1150.6537396121885,29456.714681440444,10078128,415386,10633874,1.0,0.19667590027700832,0.0,0.0
